# Simple order book scenario with matching orders  
# Format: timestamp,order_id,side,price,quantity for NEW orders
# Or: CANCEL,order_id or MODIFY,order_id,new_price,new_quantity for actions

# Initial orders at different prices
0,1,BUY,9999,100
1,2,BUY,9998,200
2,3,SELL,10001,150
3,4,SELL,10002,100

# Crossing order that matches against existing orders
4,5,BUY,10002,250

# More orders
5,6,SELL,9999,50
6,7,BUY,10000,75

# Modifications (MODIFY and CANCEL don't have timestamps - parser assigns them)
MODIFY,5,10001,200
CANCEL,2

# Final orders
9,8,SELL,10000,100
10,9,BUY,9998,50
